Orbit,Decimal Orbit,Orbital Distance,Name,Content Type,UWP,TCs and Remarks,Orbit,Orbital Distance,Diameter,Jump Point distance,Time to Jump Point at ...,Density Type,Density,Mass,Surface Gravity (G),Rotation Period,Orbital Period,Axial Tilt,Surface Atmospheric Pressure,Atmosphere Composition,Albedo,Greenhouse,Base Surface Temperature,Base Daytime temperature,Base Nighttime temperature,Summer temperature increase,Winter temperature decrease,Upper Temperature Limit,Lower Temperature Limit,Hydrographic Percentage,Surface Liquid Composition,Native Life,Native Intelligent Life,Seismic Stress
Primary,,,,Star,K4 V,
Orbit,Decimal Orbit,Orbital Distance,Name,Content Type,UWP,TCs and Remarks,Orbit,Orbital Distance,Diameter,Jump Point distance,Time to Jump Point at ...,Density Type,Density,Mass,Surface Gravity (G),Rotation Period,Orbital Period,Axial Tilt,Surface Atmospheric Pressure,Atmosphere Composition,Albedo,Greenhouse,Base Surface Temperature,Base Daytime temperature,Base Nighttime temperature,Summer temperature increase,Winter temperature decrease,Upper Temperature Limit,Lower Temperature Limit,Hydrographic Percentage,Surface Liquid Composition,Native Life,Native Intelligent Life,Seismic Stress
Secondary,,,,Star,D,
2,1.8,0.64 AU,,Rad world,Y999000-0,Ba Fr,1.8,0.64,13946,1394600,1G: 39m 21s; 2G: 27m 50s; 3G: 22m 43s; 4G: 19m 40s; 5G: 17m 36s; 6G: 16m 4s; ,Molten Core,1.02,1.452,1.15,21.98,0.645,28,1.5,Standard Oxygen / Nitrogen Mix with a taint caused by Pollutants,0.57,1.15,-253,-249,-255,17,28,-173,-255,90,Water,Yes,Extinct Natives,2,
3,3,1 AU,,Worldlet,Y278453-5,Ni Pa Fr,3,1,3474,347400,1G: 19m 38s; 2G: 13m 53s; 3G: 11m 20s; 4G: 9m 49s; 5G: 8m 47s; 6G: 8m 1s; ,Rocky Body,0.76,0.01188,0.19,29.63,1.26,34,1.1,Standard Oxygen / Nitrogen Mix with a taint caused by Pollutants,0.45,1.1,-253,-246,-256,20,34,-203,-256,75,Water,Yes,Settlers,1,
,eff,20844 km,,Ice world,Y000002-9,As Sa Lk,eff,20844,374,326556,1G: 19m 2s; 2G: 13m 28s; 3G: 10m 59s; 4G: 9m 31s; 5G: 8m 31s; 6G: 7m 46s; ,Icy Body,0.34,0.00001,0.0116,73.92,0.11,24,0,None,0.28,1,-249,-247,-268,14,24,-247,-268,1,Water,No,Vanished Transplants,12
,gee,27792 km,,Ice world,Y000142-7,As Lo Sa Lk,gee,27792,483,319608,1G: 18m 50s; 2G: 13m 19s; 3G: 10m 52s; 4G: 9m 25s; 5G: 8m 25s; 6G: 7m 41s; ,Icy Body,0.38,0.00002,0.0139,113.56,0.169,12,0,None,0.32,1,-251,-249,-269,7,12,-249,-269,2,Water,No,Transients,10
4,3.7,1.42 AU,,Rad world,Y768000-0,Ba Fr,3.7,1.42,11284,1128400,1G: 35m 24s; 2G: 25m 2s; 3G: 20m 26s; 4G: 17m 42s; 5G: 15m 50s; 6G: 14m 27s; ,Rocky Body,0.72,0.482,0.63,17.44,2.132,11,0.95,Standard Oxygen / Nitrogen Mix,0.45,1.1,-256,-252,-259,7,11,-213,-259,77,Water,No,Extinct Natives,12,
,dee,45136 km,,Ice world,Y240000-6,De Di Po Sa Lk,dee,45136,2731,1083264,1G: 34m 41s; 2G: 24m 31s; 3G: 20m 1s; 4G: 17m 20s; 5G: 15m 30s; 6G: 14m 9s; ,Icy Body,0.4,0.00625,0.1,33.6,0.05,46,0.65,Standard Oxygen / Nitrogen Mix with a taint caused by Pollutants,0.19,1.05,-250,-240,-257,28,46,-215,-257,3,Water,No,Catastrophic Extinct Natives,44
,kay,451360 km,,Ice world,Y5A7034-6,Fl Fr Sa Lk,kay,451360,7966,796600,1G: 29m 45s; 2G: 21m 2s; 3G: 17m 10s; 4G: 14m 52s; 5G: 13m 18s; 6G: 12m 8s; ,Icy Body,0.36,0.08789,0.22,1067.8,1.589,23,1,Exotic gas mix at Standard pressure. The atmosphere is composed o and Carbon Dioxide(100%). ,0.64,1.5,-258,-220,-260,14,23,-220,-260,72,Water,No,Catastrophic Extinct Exotic Natives,2
Orbit,Decimal Orbit,Orbital Distance,Name,Content Type,UWP,TCs and Remarks,Orbit,Orbital Distance,Diameter,Jump Point distance,Time to Jump Point at ...,Density Type,Density,Mass,Surface Gravity (G),Rotation Period,Orbital Period,Axial Tilt,Surface Atmospheric Pressure,Atmosphere Composition,Albedo,Greenhouse,Base Surface Temperature,Base Daytime temperature,Base Nighttime temperature,Summer temperature increase,Winter temperature decrease,Upper Temperature Limit,Lower Temperature Limit,Hydrographic Percentage,Surface Liquid Composition,Native Life,Native Intelligent Life,Seismic Stress
Tertiary,,,,Star,D,
3,2.9,0.97 AU,,Hospitable,H545444-6,Ni Pa Fr,2.9,0.97,7681,768100,1G: 29m 12s; 2G: 20m 39s; 3G: 16m 51s; 4G: 14m 36s; 5G: 13m 3s; 6G: 11m 55s; ,Rocky Body,0.66,0.161,0.41,17.64,1.204,38,0.55,Standard Oxygen / Nitrogen Mix with a taint caused by Gas Mix,0.31,1.05,-249,-244,-256,23,38,-213,-256,50,Water,No,Settlers,0,
4,3.8,1.48 AU,,Rad world,Y78A000-0,Wa Ba Fr,3.8,1.48,10562,1056200,1G: 34m 15s; 2G: 24m 13s; 3G: 19m 46s; 4G: 17m 7s; 5G: 15m 19s; 6G: 13m 59s; ,Molten Core,1,0.67,0.88,21.42,2.268,35,1.8,Standard Oxygen / Nitrogen Mix,0.51,1.15,-258,-254,-259,21,35,-198,-259,96,Water,No,Extinct Natives,0,
