Sector	SS	Hex	Name	UWP	Bases	Remarks	Zone	PBG	Allegiance	Stars	{Ix}	(Ex)	[Cx]	Nobility	W	RU
????	A	0604	????	C211455-A		Ic Ni		805		M9 V	{ +0 }	(F33+3)	[54A8]	B	13	405
????	A	0607	????	EDC7303-8		Fl Lo Ho		107		O5 V G7 VI	{ -3 }	(G21-1)	[112B]	B	12	-32
????	A	0610	????	B5687CA-6		Ag Ri Co	R	503		F3 V M3 V	{ +2 }	(76D+1)	[4945]	BC	9	546
????	A	0708	????	C735353-6		Lo		733		F3 III M0 V	{ -2 }	(721+0)	[217A]	B	19	14
????	A	0801	????	B79768B-5	NS	Ni Ag Co Tu		305		G4 VI	{ +1 }	(455-4)	[8727]	BC	13	-400
????	A	0807	????	B4555A9-9	NS	Ni Ag		90A		K6 V	{ +2 }	(F43-1)	[779A]	BC	18	-180
????	A	0810	????	E9BA310-9		Fl Wa Lo Co		305		A6 II	{ -2 }	(D21+3)	[3179]	B	16	78
????	B	0902	????	A899553-B		Ni Ho		906		K7 III BD	{ +1 }	(D44+0)	[564A]	B	14	208
????	B	0908	????	D426636-3	S	Ni		305		M3 III	{ -3 }	(653+1)	[9344]	B	12	90
????	B	0909	????	B30058A-A		Va Ni		334		K4 V	{ +1 }	(C42-2)	[862A]	B	14	-192
????	B	0910	????	E100883-8		Va Ph Na Pi		705		F0 IV K5 VI	{ -2 }	(C71-1)	[6699]	BDe	12	-84
????	B	1007	????	E850766-2		De Po Co		314		K5 V	{ -2 }	(362+2)	[9571]	B	12	72
????	B	1102	????	B8C4761-B		Fl		204		K5 III BD	{ +2 }	(B67+2)	[893B]	B	17	924
????	B	1103	????	C99A765-8	S	Wa Pi Ho		327		K9 V	{ -1 }	(J66+4)	[7656]	BD	13	2592
????	B	1109	????	E341110-7		He Lo Po Co		809		A6 IV M6 VI	{ -3 }	(B01+2)	[112A]	B	22	22
????	B	1205	????	E51078B-6		Na Pi		535		F2 II M8 V	{ -2 }	(965-3)	[A554]	BD	18	-810
????	B	1209	????	B746553-8		Ni Ag Co Tu		906		M7 V	{ +0 }	(A41+1)	[A53C]	BC	16	40
????	B	1303	????	B433885-B		Ph Na Po Fa		40A		G1 V M1 VI	{ +2 }	(D77+0)	[DA5A]	Be	19	637
????	B	1304	????	C52047A-8		De He Ni Po		614		DM BD BD BD	{ -2 }	(C34-2)	[521C]	B	15	-288
????	B	1307	????	A510378-9		Lo		404		K2 V BD BD	{ +0 }	(B21+3)	[6349]	B	14	66
????	B	1403	????	C550415-5		De Ni Po Fa		407		A9 V	{ -2 }	(733+2)	[2296]	B	13	126
????	B	1404	????	E969220-3		Lo		916		M0 V BD	{ -3 }	(511-2)	[1155]	B	15	-10
????	B	1405	????	A77A400-B		Wa Ni Ho		904		F3 II K9 V G5 V	{ +1 }	(833+1)	[555B]	B	12	72
????	B	1410	????	CFFA777-6		Ho		701		K1 V M7 VI	{ -1 }	(968+3)	[9634]	B	5	1296
????	B	1501	????	A79A211-D		Wa Lo Ho		406		G7 V	{ +1 }	(J11+4)	[2388]	B	13	72
????	B	1504	????	A421634-D		He Ni Na Po Fa		208		A7 V	{ +1 }	(C57-1)	[274D]	B	17	-420
????	B	1507	????	C557575-4	S	Ni Ag Co		916		A9 IV	{ -1 }	(741+0)	[6456]	BC	15	28
????	B	1602	????	C100301-8	S	Va Lo Ho		715		K3 V	{ -2 }	(E21+0)	[1176]	B	13	28
????	C	1701	????	E678410-4		Ni Pa Co		703		G9 V	{ -3 }	(730+0)	[41A4]	Bc	9	21
????	C	1703	????	C442451-8		He Ni Po Fa		831		F5 V M4 VI	{ -2 }	(B34-2)	[324C]	B	11	-264
????	C	1704	????	E78468D-6		Ni Ag Ri	A	805		F2 V G1 VI	{ -1 }	(754+0)	[5585]	BC	13	140
????	C	1804	????	B550632-7		De Ni Po Co		705		M9 V BD	{ -1 }	(C50+0)	[3586]	B	16	60
????	C	1806	????	C140121-6	S	De Lo Po		416		F8 V BD	{ -2 }	(501-2)	[613B]	B	15	-10
????	C	1807	????	X00079A-0		As Va Na Pi	R	232		M8 VI BD M8 VI	{ -2 }	(A64+2)	[95A1]	BD	10	480
????	C	1808	????	B12079B-D		De Na Pi Po Ho Co	A	104		F2 V	{ +2 }	(B66-4)	[691C]	BD	16	-1584
????	C	1901	????	E300200-5		Va Lo Co		201		M3 V BD	{ -3 }	(411+0)	[2173]	B	5	4
????	C	1905	????	C8338AB-7	S	Ph Na Po Co	A	904		K8 V	{ -1 }	(A76-3)	[878A]	Be	10	-1260
????	C	2002	????	B651330-A		Lo Po		735		M6 II	{ +1 }	(J21+1)	[1429]	B	16	36
????	C	2003	????	D120235-6		De Lo Po Co		727		A8 IV	{ -3 }	(311+5)	[3173]	B	16	15
????	C	2005	????	D886645-5	S	Ga Ni Ag Ri Fa		203		F0 V	{ -1 }	(951+1)	[5551]	BC	8	45
????	C	2102	????	B9CA788-9	NS	Fl Wa		805		F8 V	{ +2 }	(A68-1)	[395C]	B	13	-480
????	C	2103	????	A596542-8	NS	Ni Ag Ho		307		A6 V G9 VI	{ +1 }	(E46-1)	[1677]	BC	19	-336
????	C	2202	????	B557322-6		Lo Co		515		K2 V	{ -1 }	(521-5)	[125B]	B	11	-50
????	C	2209	????	A541595-C	N	He Ni Po		104		K0 V BD	{ +1 }	(E43+1)	[464F]	B	7	168
????	C	2304	????	A467789-8	N	Ag Ri		603		F7 V M5 VI K5 VI DM	{ +2 }	(C69+0)	[892B]	BC	6	648
????	C	2306	????	C9AA210-7	S	Fl Wa Lo		422		F0 V K4 V M9 V M5 VI	{ -2 }	(B11-1)	[4168]	B	12	-11
????	C	2309	????	BFEA624-D		Ni Ho		105		F2 V	{ +1 }	(B53-2)	[9769]	B	12	-330
????	C	2310	????	C697879-3	S	Ph Pa Pi		837		G7 V M6 VI M6 VI	{ -1 }	(778-2)	[7732]	BcDe	15	-784
????	D	2501	????	B64477C-6		Ag Pi		417		DF K3 VI M6 VI	{ +1 }	(C64+4)	[886A]	BCD	12	1152
????	D	2502	????	D000377-9		As Va Lo		605		M6 II	{ -2 }	(A21-2)	[211D]	B	15	-40
????	D	2602	????	C550642-6		De Ni Po		108		F5 VI	{ -2 }	(750-1)	[4427]	B	14	-35
????	D	2603	????	A624675-C		Ni Fa		501		K1 II BD	{ +1 }	(652-1)	[671A]	B	13	-60
????	D	2607	????	B58A202-9	NS	Wa Lo		206		G2 V M0 VI	{ +1 }	(C11-1)	[5318]	B	13	-12
????	D	2608	????	E566864-1		Ph Pa Ri Co		706		DG	{ -1 }	(875+0)	[B742]	BcCe	17	280
????	D	2610	????	A7B6797-9		Fl		633		G5 V M9 VI M8 VI	{ +1 }	(A6A-2)	[A84A]	B	11	-1200
????	D	2710	????	A468999-E	N	Hi Pr Ri Co		312		G1 V	{ +4 }	(986-3)	[9D3B]	BcCEf	11	-1296
????	D	2805	????	A4349CA-B		Hi	R	707		K8 V BD	{ +3 }	(F89-4)	[9C78]	BE	11	-4320
????	D	2807	????	A444300-A	N	Lo Fa		908		G9 V K6 VI	{ +1 }	(C21+5)	[1419]	B	15	120
????	D	2808	????	D658769-3	S	Ag		408		G4 V DM BD K9 VI BD M0 V	{ -1 }	(B65-1)	[9646]	BC	17	-330
????	D	2905	????	C78A320-8		Wa Lo Ho		903		K0 V	{ -2 }	(C21+2)	[417D]	B	13	48
????	D	2907	????	B651995-A		Hi Po Ho		804		F5 V	{ +3 }	(A87-1)	[DC89]	BE	10	-560
????	D	2910	????	B741875-A		He Ph Pi Po		236		M4 V	{ +2 }	(J7B-4)	[6A88]	BDe	21	-5544
????	D	3003	????	D230100-5	S	De Lo Po Co		337		G6 V	{ -3 }	(601+1)	[1155]	B	18	6
????	D	3006	????	C463778-5		Ri		10A		G9 V	{ +0 }	(869+2)	[8754]	BC	18	864
????	D	3107	????	E343554-8		Ni Po		904		G4 V	{ -3 }	(840-2)	[52A4]	B	13	-64
????	D	3108	????	C9B5655-7		Fl Ni		207		M8 V BD	{ -2 }	(452-4)	[6455]	B	12	-160
????	D	3201	????	E645031-1		Di Ho Co Tr		024		F9 V	{ -3 }	(906-2)	[0000]	B	12	-108
????	D	3204	????	C975375-4	S	Lo		226		K8 V	{ -2 }	(921+0)	[4164]	B	14	18
????	D	3205	????	E5478B7-1		Ph Pa Pi Ho Fa		716		B2 III DK G2 VI	{ -2 }	(A71+1)	[B661]	BcDe	16	70
????	D	3206	????	D443677-2		Ni Po		602		M3 V BD BD BD	{ -3 }	(453+0)	[5364]	B	14	60
????	E	0112	????	B500633-9		Va Ni Na Co		704		G2 III K6 V	{ +0 }	(E51-3)	[162C]	B	16	-210
????	E	0113	????	D3308CA-6		De Ph Na Po Fa	R	115		K3 V BD BD	{ -2 }	(975-2)	[6656]	Be	9	-630
????	E	0116	????	E6B6322-5		Fl Lo		715		A8 V	{ -3 }	(421+3)	[4155]	B	13	24
????	E	0211	????	D673555-5		Ni		415		G7 IV	{ -3 }	(C40+2)	[4257]	B	17	96
????	E	0212	????	B469302-D		Lo Co		916		K3 IV	{ +1 }	(E21+3)	[447C]	B	15	84
????	E	0213	????	E843BFF-9		Hi In Po Co Tu	R	832		M4 V	{ +0 }	(BAA+0)	[CB2B]	BE	10	1100
????	E	0214	????	A8A3326-E		Fl Lo Px Co		225		G2 V	{ +1 }	(C21-1)	[146D]	B	15	-24
????	E	0218	????	E772774-2		He Pi		308		F3 V K1 VI DM	{ -2 }	(768+1)	[8556]	BD	15	336
????	E	0312	????	C440421-7	S	De He Ni Po Ho		814		O0 V	{ -2 }	(731-3)	[7227]	B	12	-63
????	E	0411	????	B500769-9		Va Na Pi		407		G7 V	{ +1 }	(G67+0)	[3859]	BD	13	672
????	E	0412	????	D431447-5		Ni Px Po		815		K4 V	{ -3 }	(632+1)	[4153]	B	11	36
????	E	0418	????	A200577-A	N	Va Ni Co Co		607		M6 II	{ +1 }	(F44-1)	[666A]	B	16	-240
????	E	0513	????	A444310-A		Lo Ho		318		K5 V	{ +1 }	(G21+0)	[347B]	B	20	32
????	E	0516	????	A9A3376-9		Fl Lo Px Co Fa		706		F6 IV BD	{ +0 }	(F21-1)	[1384]	B	14	-30
????	E	0517	????	D596795-4		Ag Pi Co		624		K8 V	{ -1 }	(864+3)	[8643]	BCD	19	576
????	E	0520	????	B9D7654-B	NS	Ni Co Fa		412		G2 V M4 V	{ +2 }	(955+1)	[6816]	B	12	225
????	E	0612	????	D620750-5		De He Na Pi Po		428		K1 V	{ -2 }	(669+0)	[6534]	BD	15	324
????	E	0712	????	D433651-6	S	Ni Na Po		504		F3 III M1 V	{ -3 }	(950+3)	[3365]	B	11	135
????	E	0716	????	C3007BG-5	S	Va Na Pi	R	515		K6 V	{ -1 }	(562+5)	[B633]	BD	16	300
????	E	0717	????	C68A321-A		Wa Lo		715		A8 V K7 VI G5 VI	{ +0 }	(E21-2)	[1369]	B	16	-56
????	E	0720	????	B354335-9		Lo		427		A0 V M6 VI	{ +0 }	(M21+1)	[2387]	B	12	42
????	E	0814	????	E799310-8		Lo		209		A7 Ib	{ -3 }	(F21+4)	[7168]	B	20	120
????	E	0815	????	E400213-8		Va Lo Ho		136		G5 V BD M2 V BD	{ -3 }	(K11-2)	[414D]	B	17	-38
????	E	0818	????	C566676-8	S	Ni Ag Ri		504		A7 II G1 VI	{ +0 }	(953-2)	[A657]	BC	15	-270
????	E	0819	????	B757201-9	NS	Ga Lo		300		A0 V	{ +1 }	(511+0)	[1356]	B	6	5
????	E	0820	????	B765466-9		Ga Ni Pa		607		G0 II	{ +0 }	(D36+3)	[5435]	Bc	15	702
????	F	0911	????	A47867A-8		Ni Ag		217		K2 III BD BD	{ +0 }	(C56+2)	[463A]	BC	13	720
????	F	0914	????	B698756-9		Ag Pi		413		F0 V M4 VI	{ +2 }	(B69-4)	[2916]	BCD	12	-2376
????	F	0915	????	D5788BF-3	S	Ph Pa Pi	R	604		G2 V M9 V M6 VI	{ -2 }	(A72+2)	[9611]	BcDe	12	280
????	F	0919	????	B410876-9		Ph Na Pi		304		G9 V BD	{ +1 }	(B76+0)	[7958]	BDe	12	462
????	F	1012	????	C75248B-5	S	Ni Po		634		M0 V	{ -2 }	(830-1)	[1256]	B	14	-24
????	F	1016	????	A869210-D		Lo		511		G5 III M3 V	{ +1 }	(511-4)	[334F]	B	10	-20
????	F	1111	????	C68A662-7	S	Wa Ni Ri		438		G1 V BD	{ -1 }	(851+1)	[7536]	BC	19	40
????	F	1112	????	C666220-7		Ga Lo Ho Tr		406		K3 V BD BD	{ -2 }	(811+4)	[1175]	B	16	32
????	F	1115	????	B43667A-A		Ni		137		G2 IV	{ +1 }	(L57+1)	[5768]	B	16	700
????	F	1214	????	B536355-A		Lo Co		106		K7 V BD	{ +1 }	(H21-2)	[145A]	B	11	-68
????	F	1216	????	C525676-4		Ni Px		424		B5 IV	{ -2 }	(650-1)	[3451]	B	16	-30
????	F	1218	????	C677540-5	S	Ni Ag		827		F7 V	{ -1 }	(744+3)	[94A8]	BC	20	336
????	F	1312	????	A200301-B	N	Va Lo Co		408		A3 V DM	{ +1 }	(C21+0)	[447C]	B	15	24
????	F	1314	????	D78968A-2		Ni Ri		904		A1 Ia	{ -2 }	(451+4)	[6491]	BC	11	80
????	F	1316	????	A640312-C		De He Lo Po		704		A6 II M2 V M4 V	{ +1 }	(721+0)	[345A]	B	10	14
????	F	1317	????	E5339EF-8		Hi Na Po	R	404		G7 VI BD	{ -1 }	(A86+1)	[6883]	BE	16	480
????	F	1319	????	C524247-9		Lo		404		F6 VI	{ -1 }	(D11-3)	[1115]	B	11	-39
????	F	1411	????	E9C6586-4		Fl Ni Ho		616		DG K3 VI	{ -3 }	(642-3)	[8259]	B	13	-144
????	F	1412	????	X443424-3		Ni Po Co	R	909		M5 V BD	{ -3 }	(430+0)	[2124]	B	13	12
????	F	1416	????	C556589-6		Ni Ag Co		614		F1 V M8 V M4 VI	{ -1 }	(740-1)	[3433]	BC	10	-28
????	F	1419	????	A772315-C		He Lo Ho		915		A3 V DK	{ +1 }	(E21-2)	[846A]	B	15	-56
????	F	1519	????	C543249-8		Lo Po		336		K3 V BD	{ -2 }	(B11-1)	[613B]	B	19	-11
????	F	1612	????	C636442-A		Ni		338		F6 V	{ +0 }	(D34-2)	[742C]	B	19	-312
????	F	1617	????	C300467-7		Va Ni		607		F0 III	{ -2 }	(333-4)	[1243]	B	13	-108
????	F	1619	????	D338634-4	S	Ni Co		705		F3 V BD	{ -3 }	(650-2)	[5364]	B	14	-60
????	F	1620	????	A577595-A		Ni Ag		234		G0 IV BD	{ +2 }	(K46+0)	[5767]	BC	16	456
????	G	1712	????	C422263-B		He Lo Po Fa		817		A9 III	{ +0 }	(E11-5)	[126D]	B	14	-70
????	G	1813	????	A130440-G		De Ni Po		108		F5 V	{ +2 }	(L35+3)	[864K]	B	15	900
????	G	1815	????	B567665-9		Ni Ag Ri		211		M3 II BD BD	{ +2 }	(953-3)	[781A]	BC	9	-405
????	G	1816	????	B445545-9		Ni Ag Ho		507		F3 V	{ +1 }	(H47-3)	[A67B]	BC	20	-1428
????	G	1817	????	B668536-8		Ni Ag Pr		734		K8 V	{ +0 }	(F41+0)	[452D]	BcC	17	60
????	G	1915	????	A451456-C		Ni Po		517		G3 V M4 VI BD	{ +1 }	(K32-2)	[255A]	B	13	-228
????	G	1920	????	C210227-A		Lo		505		B4 III	{ +0 }	(B11-3)	[525A]	B	14	-33
????	G	2017	????	D424668-6	S	Ni Px Ho		606		G7 III	{ -3 }	(352+0)	[1325]	B	12	30
????	G	2113	????	C110547-8	S	Ni Co		717		M2 V DM	{ -2 }	(H42+0)	[837C]	B	16	136
????	G	2211	????	C662676-5	S	Ni Ri		208		K2 V M7 VI	{ -1 }	(253+5)	[9546]	BC	19	150
????	G	2214	????	D358640-5	S	Ni Ag		203		G2 IV	{ -2 }	(751-1)	[5413]	BC	13	-35
????	G	2311	????	E535500-8		Ni Co		704		M3 II BD BD	{ -3 }	(A40-1)	[9224]	B	16	-40
????	G	2320	????	C5256AC-5		Ni Co	R	320		M8 VI	{ -2 }	(654-1)	[9447]	B	9	-120
????	G	2412	????	E338574-5		Ni Ho Fa		10A		DA	{ -3 }	(341-2)	[6223]	B	18	-24
????	H	2517	????	C6AA436-9	S	Fl Wa Ni		337		O7 Ib F0 V G0 V	{ -1 }	(E34+0)	[138A]	B	16	168
????	H	2518	????	C797795-8		Ag Pi Ho Tr		103		K7 V BD	{ +0 }	(669-1)	[576B]	BCD	13	-324
????	H	2520	????	B84748A-A		Ni Pa Co Tu		200		M4 V BD BD BD	{ +1 }	(832+0)	[4527]	Bc	10	48
????	H	2611	????	C89A202-7	S	Wa Lo Co		532		K0 VI M4 VI	{ -2 }	(911-2)	[5176]	B	16	-18
????	H	2613	????	B752005-7		Di Po		009		M9 V BD	{ -1 }	(406+3)	[0000]	B	16	72
????	H	2614	????	B9A7653-A	NS	Fl Ni Co		137		F3 V	{ +2 }	(G56+2)	[783B]	B	20	960
????	H	2615	????	E475522-8		Ni Ag		813		M1 II	{ -2 }	(E40-2)	[235A]	BC	16	-112
????	H	2616	????	E334687-8		Ni Px		503		G2 V M3 VI M7 VI	{ -3 }	(A53-1)	[836A]	B	8	-150
????	H	2712	????	E551442-4		Ni Po		904		F2 V M8 VI	{ -3 }	(530-3)	[3141]	B	12	-45
????	H	2715	????	B86A223-B	NS	Wa Lo Co		635		G9 V M7 VI	{ +2 }	(D11-2)	[2489]	B	18	-26
????	H	2811	????	C000677-7		As Va Ni Na		433		G3 V	{ -2 }	(850-1)	[A447]	B	12	-40
????	H	2812	????	E6A1747-3		Fl He		936		G2 V	{ -2 }	(867-1)	[4561]	B	17	-336
????	H	2814	????	B497401-9		Ni Pa		807		F7 V	{ +0 }	(E33+3)	[5436]	Bc	11	378
????	H	2820	????	B568445-B		Ni Pa Co		721		K9 II M7 V BD	{ +1 }	(635+1)	[6569]	Bc	9	90
????	H	2920	????	X465776--1		Ag Ri Co	R	807		M7 V	{ +0 }	(366-4)	[7711]	BC	10	-432
????	H	3013	????	C89A653-9	S	Wa Ni Co		937		M1 V M0 VI	{ -1 }	(E54+4)	[3559]	B	18	1120
????	H	3014	????	B6B6321-B	NS	Fl Lo Ho		932		A1 V G5 VI	{ +2 }	(E21+4)	[153C]	B	11	112
????	H	3015	????	E248300-6		Lo		105		M5 V BD	{ -3 }	(721+2)	[515A]	B	13	28
????	H	3018	????	A894312-8	N	Lo Co Tu		735		K8 V	{ -1 }	(A21+3)	[5267]	B	18	60
????	H	3020	????	A7B4437-E	NS	Fl Ni Px		425		A1 V	{ +2 }	(D38+0)	[662C]	B	11	312
????	H	3111	????	C235246-6	S	Lo		704		M2 III	{ -2 }	(B11+4)	[1178]	B	11	44
????	H	3115	????	C964423-4	S	Ni Pa		922		F1 II	{ -2 }	(934-2)	[1292]	Bc	9	-216
????	H	3116	????	A520755-9		De He Na Pi Po Ho		605		A9 Ia G2 V	{ +1 }	(C67+0)	[5847]	BD	10	504
????	H	3119	????	A443253-C		Lo Po Fr		616		DM	{ +1 }	(C11-2)	[539B]	B	14	-24
????	H	3212	????	D300347-5		Va Lo Fa		606		A7 II M7 V	{ -3 }	(C21-3)	[1135]	B	15	-72
????	H	3214	????	C310576-B		Ni Co		402		M7 III	{ +0 }	(644-4)	[153G]	B	12	-384
????	H	3215	????	C46777A-6	S	Ag Ri		605		A3 II F2 V G1 V	{ +1 }	(A67+2)	[9898]	BC	14	840
????	H	3217	????	E130300-7		De Lo Po Fa		601		K9 V	{ -3 }	(B21-3)	[4117]	B	9	-66
????	I	0129	????	B488575-A	NS	Ni Ag Pr		808		K0 V	{ +3 }	(E46-4)	[4849]	BcC	18	-1344
????	I	0130	????	D547564-4	S	Ni Ag		73A		G8 V M6 V M2 VI	{ -2 }	(940-2)	[3316]	BC	23	-72
????	I	0223	????	C999366-7		Lo		403		G6 V M1 VI	{ -2 }	(821-1)	[2169]	B	8	-16
????	I	0224	????	D643434-4	S	Ni Po Co Tu Fa		337		K5 V M3 VI	{ -3 }	(830-4)	[5191]	B	18	-96
????	I	0226	????	D510735-4		Na Pi Co		803		A7 V K0 VI	{ -2 }	(866+0)	[A573]	BD	11	288
????	I	0227	????	E44855A-7		Ni Ag Co Co		832		M1 V BD	{ -2 }	(C40-3)	[5376]	BC	11	-144
????	I	0422	????	A8B7835-D		Fl Ph Co		206		G3 V DM	{ +2 }	(A7D+5)	[5A9C]	Be	16	4550
????	I	0424	????	A7B5587-E		Fl Ni Px Co		116		A6 V DM	{ +1 }	(G44-1)	[364C]	B	15	-256
????	I	0426	????	A7A6100-F		Fl Lo Fr Fa		33A		M0 V BD	{ +1 }	(K01-5)	[125E]	B	26	-95
????	I	0526	????	B9B7230-A		Fl Lo		914		K7 V	{ +1 }	(H11+1)	[2379]	B	18	17
????	I	0527	????	C511200-8		Ic Lo Fa		135		F6 V	{ -2 }	(F11-1)	[1157]	B	14	-15
????	I	0623	????	E779351-5		Lo Ho		210		K1 V M3 VI BD	{ -3 }	(921+4)	[4139]	B	10	72
????	I	0723	????	A483646-C		Ni Ri Co		836		F3 V	{ +2 }	(H53-1)	[7879]	BC	13	-255
????	I	0730	????	C310300-9		Lo Ho		433		F4 V M7 VI M0 VI K2 VI M5 VI	{ -1 }	(921+4)	[226D]	B	13	72
????	I	0822	????	D775222-7		Lo Ho Tr		208		K3 V	{ -3 }	(611+4)	[3149]	B	18	24
????	I	0825	????	X2538A9-2		Ph Po Fa	R	208		F2 V	{ -2 }	(277-2)	[6651]	Be	13	-196
????	J	0926	????	D8A7321-6	S	Fl Lo Co Fa		403		K8 V	{ -3 }	(821-1)	[3139]	B	7	-16
????	J	0930	????	B5249EF-C		Hi In	R	301		M3 VI	{ +3 }	(48D-1)	[7C4C]	BE	11	-416
????	J	1026	????	D9A8112-7	S	Fl Lo		109		K8 V	{ -3 }	(B01-4)	[115A]	B	19	-44
????	J	1124	????	E2109CA-A		Hi Na In	R	906		K2 V	{ +1 }	(B86+0)	[8A2A]	BE	17	528
????	J	1126	????	A673774-B	NS	Pi		108		A6 V	{ +3 }	(C69+0)	[9A4D]	BD	19	648
????	J	1224	????	E459978-8		Hi Ho		424		G7 V K7 VI	{ -1 }	(G86+0)	[7869]	BE	16	768
????	J	1325	????	B779320-C	NS	Lo		424		G0 III	{ +2 }	(B21+3)	[451A]	B	10	66
????	J	1329	????	B689336-A	NS	Lo		937		K1 IV M8 V	{ +2 }	(J21+1)	[555C]	B	18	36
????	J	1330	????	X333301-4		Lo Po	R	80A		A8 V K4 VI	{ -3 }	(321+2)	[1192]	B	18	12
????	J	1422	????	B659410-7		Ni Co		223		F7 V	{ -1 }	(935-1)	[1314]	B	10	-135
????	J	1423	????	C530203-B	S	De Lo Po Co		610		F3 V	{ +0 }	(A11-1)	[225B]	B	9	-10
????	J	1426	????	A610453-C		Ni Ho		614		F2 III	{ +1 }	(E37+3)	[756B]	B	17	882
????	J	1427	????	E000776-8		As Va Na Pi		820		F8 V	{ -2 }	(764+2)	[656A]	BD	11	336
????	J	1428	????	E0006BE-6		As Va Ni Na Co	R	405		M8 V BD M6 VI	{ -3 }	(551+1)	[2351]	B	13	25
????	J	1429	????	C4517A9-7	S	Po		533		M3 II BD BD	{ -1 }	(762+5)	[566A]	B	16	420
????	J	1523	????	A4107A8-D		Na Pi		306		F1 V	{ +2 }	(F67+1)	[9949]	BD	14	630
????	J	1528	????	E454356-9		Lo		625		K4 IV	{ -2 }	(G21-3)	[613B]	B	18	-96
????	J	1622	????	A743667-7	N	Ni Po		505		G4 V	{ -1 }	(853-3)	[653C]	B	15	-360
????	J	1628	????	D743754-3	S	Pi Po Ho Tr Fa		307		K2 V	{ -2 }	(566-1)	[7554]	BD	13	-180
????	J	1630	????	D446536-5		Ni Ag Ho		327		F6 V	{ -2 }	(942+2)	[6384]	BC	16	144
????	K	1724	????	E500300-9		Va Lo Co		722		K8 VI M1 VI	{ -2 }	(F21+2)	[1136]	B	11	60
????	K	1725	????	A444878-C		Ph Pa Pi		324		A2 Ib M0 V	{ +2 }	(E7B-2)	[AA2E]	BcDe	12	-2156
????	K	1726	????	E751732-2		Po		102		F3 V K0 VI	{ -2 }	(664+0)	[3561]	B	10	144
????	K	1728	????	XDD958C-5		Ni	R	937		K4 V	{ -3 }	(540+0)	[8285]	B	15	20
????	K	1729	????	C7A1555-9	S	Fl He Ni Co Fa		606		M9 V BD	{ -1 }	(A40-2)	[8448]	B	10	-80
????	K	1822	????	B8BA261-9	NS	Fl Wa Lo Ho		731		G9 IV K9 V	{ +1 }	(F11+0)	[337B]	B	11	15
????	K	1828	????	C331487-A	S	Ni Px Po		10A		DA K5 VI	{ +0 }	(K31-1)	[144F]	B	20	-57
????	K	1926	????	C655403-A		Ga Ni Pa		319		M8 VI	{ +0 }	(K32+2)	[445C]	Bc	18	228
????	K	1927	????	B569610-6		Ni Ri Co		205		M3 II BD	{ +0 }	(856-1)	[4633]	BC	14	-240
????	K	2021	????	X150105-6		De Lo Po Co	R	604		F6 V DK G8 VI M1 V	{ -3 }	(701+1)	[3159]	B	17	7
